aspect,phrase,polarity,review
acting,pathethic,negative,"Don't know what's worse, the pathethic acting from almost everyone (Damon won the price tho for insignificant character) or the robots with graphics similar to ""Cop"" from 1988. HOW can so much people enjoyed this?"
cast,phenomenal,positive,The cast was phenomenal and I think every superhero got to have their spotlight.
acting,No acting,negative,No acting!
film,repeats itself over and over and over and over,negative,For the remainder of the film it merely repeats itself over and over and over and over. To write more on the film would be to commit the same sin.
actors,Great actors,positive,"Great actors, great story, great action! But something's off i dont know what."
story,great story,positive,"Great actors, great story, great action! But something's off i dont know what."
action, great action,positive,"Great actors, great story, great action! But something's off i dont know what."
animations,they do have some really good animations and fighting scenes,positive,"Okay, so they do have some really good animations and fighting scenes, but is it really what Lord Of The Rings is about?"
fighting scenes,good animations,positive,"Okay, so they do have some really good animations and fighting scenes, but is it really what Lord Of The Rings is about?"
dialouges,very comfortable,positive,The dialouges are very comfortable.
image,Gives the worst,negative,Gives the worst image of poverty people.
Peter Jackson,all among the worst literary adaptations ever,negative,Peter Jackson's Tolkien adaptations are all among the worst literary adaptations ever. For Tolkien fans they are a torment.
Acting,quit good even if the acting was all CGI,positive,"Acting though was quit good even if the acting was all CGI. And, the ending???? WTF!!!!!!!!!!!!!!!!!!"
ending,WTF!!!!!!!!!!!!!!!!!!,negative,"Acting though was quit good even if the acting was all CGI. And, the ending???? WTF!!!!!!!!!!!!!!!!!!"
movie,Very good movie,positive,Very good movie by the creative David Fincher that spot on the intime relation of two married man and woman!
David Fincher,creative David Fincher,positive,Very good movie by the creative David Fincher that spot on the intime relation of two married man and woman!
acting,Everyone's acting was perfect,positive,Everyone's acting was perfect.
end,"rambling, silly and disjointed",negative,"it's at times rambling, silly and disjointed. Especially toward the end."
the fight scenes,excellent,positive,the fight scenes were excellent.
sconces,great sconces and setting,positive,"Some of the actors are 5*, great sconces and setting."
setting,great sconces and setting,positive,"Some of the actors are 5*, great sconces and setting."
actors,actors are 5*,positive,"Some of the actors are 5*, great sconces and setting."
twist,the twist makes you look back at the film with even more interest,positive,"A good contrast is with ""Sixth Sense;"" the twist makes you look back at the film with even more interest."
main characters,an aversion to the main characters,negative,Only an aversion to the main characters.
notions,It was quite boring,negative,It was quite boring to watch and contained no groundbreaking notions or idea.
idea,It was quite boring,negative,It was quite boring to watch and contained no groundbreaking notions or idea.
Story line,good,positive,Story line is good but not something new.
plot,The plot is painful,negative,The plot is painful.
Women's roles,Women's roles were disgraceful,negative,Women's roles were disgraceful.
writing,Amazing,positive,"Amazing writing, directing, acting, and cinematography."
directing,"Amazing writing, directing, acting, and cinematography.",positive,"Amazing writing, directing, acting, and cinematography."
acting,"Amazing writing, directing, acting, and cinematography.",positive,"Amazing writing, directing, acting, and cinematography."
cinematography,"Amazing writing, directing, acting",positive,"Amazing writing, directing, acting, and cinematography."
Nicholson,Keaton for me.,neutral,Nicholson and Keaton for me.
Keaton,Keaton for me.,neutral,Nicholson and Keaton for me.
movie,Amazing movie,positive,"Amazing movie, perfectly casted and with a great storyline."
casted,perfectly casted,positive,"Amazing movie, perfectly casted and with a great storyline."
storyline,perfectly casted and with a great storyline,positive,"Amazing movie, perfectly casted and with a great storyline."
direction,better,positive,The direction made the story better than that wrote in the book.
Brad Pitt,best choices,positive,Brad Pitt and Edward Norton are best choices for this movie without no doubt.
Edward Norton,best choices,positive,Brad Pitt and Edward Norton are best choices for this movie without no doubt.
Visually,Visually alright ,positive,Visually alright the effects are not a good reason for a Lord of the Rings fan to attempt to draw in non-fans or undecideds as I was.
effects,the effects are not a good reason,negative,Visually alright the effects are not a good reason for a Lord of the Rings fan to attempt to draw in non-fans or undecideds as I was.
transcripts,One of the most brilliant transcripts,positive,"One of the most brilliant transcripts, I've enjoyed every minute of the movie."
acting,"Although the acting can be very good in some parts, the acting in other parts is downright terrible.",neutral,"Although the acting can be very good in some parts, the acting in other parts is downright terrible."
acting,the acting in other parts is downright terrible.,negative,"Although the acting can be very good in some parts, the acting in other parts is downright terrible."
beginning,a little too slow,negative,"While the beginning was a little too slow for my liking, the movie did very well in terms of it's themes and foreshadowing, making the ending very effective."
themes,the movie did very well in terms of it's themes,positive,"While the beginning was a little too slow for my liking, the movie did very well in terms of it's themes and foreshadowing, making the ending very effective."
movie,the movie did very well in terms of it's themes and foreshadowing,positive,"While the beginning was a little too slow for my liking, the movie did very well in terms of it's themes and foreshadowing, making the ending very effective."
ending,the ending very effective,positive,"While the beginning was a little too slow for my liking, the movie did very well in terms of it's themes and foreshadowing, making the ending very effective."
visual effects,superb,positive,"Being awed by such superb visual effects and intriguing story while feeling guilty and depressed at the atrocious level of violence in ""The Matrix"" made my movie going experience fall flat."
story,intriguing story,positive,"Being awed by such superb visual effects and intriguing story while feeling guilty and depressed at the atrocious level of violence in ""The Matrix"" made my movie going experience fall flat."
violence,made my movie going experience fall flat.,negative,"Being awed by such superb visual effects and intriguing story while feeling guilty and depressed at the atrocious level of violence in ""The Matrix"" made my movie going experience fall flat."
first two hours,a total sleepfest,negative,"The first two hours is a total sleepfest, until the twist at the end where at least something happen that's interesting and not pointless."
twist at the end,where at least something happen that's interesting and not pointless,positive,"The first two hours is a total sleepfest, until the twist at the end where at least something happen that's interesting and not pointless."
films,a faint movie,negative,"In general, it was a faint movie from the other two films."
movie,a faint movie,negative,"In general, it was a faint movie from the other two films."
music,great experience to watch,positive,"I love how the music and the sound design give me immersion to the full history of Interstellar, I simply love it so much, great experience to watch."
sound design,great experience to watch,positive,"I love how the music and the sound design give me immersion to the full history of Interstellar, I simply love it so much, great experience to watch."
first Ring Movie,exciting,positive,The first Ring-Movie was exciting and it made me curious about part two. But after watching part two I decided not to watch part 3!
movie,This is a great movie,positive,"This is a great movie It's well written and focused on the plot ,keeps you thinking and on the edge of your seat, there's not movies like this out there"
written,It's well written,positive,"This is a great movie It's well written and focused on the plot ,keeps you thinking and on the edge of your seat, there's not movies like this out there"
plot,It's well written and focused,positive,"This is a great movie It's well written and focused on the plot ,keeps you thinking and on the edge of your seat, there's not movies like this out there"
story,the top,positive,The quality of the story and the visuals are still the top after 20 years
visuals,the top,positive,The quality of the story and the visuals are still the top after 20 years
acting,admire,positive,"A work of art that will be remembered forever, and I admire the acting."
movie,I didn´t like this movie,negative,"I didn´t like this movie, because it´s story is pretty much based on Clichés, and the target for it are children with 14 yrs - less."
story,pretty much based on Clichés,negative,"I didn´t like this movie, because it´s story is pretty much based on Clichés, and the target for it are children with 14 yrs - less."
Lucy,when having a rant about how terrible movies/tv are getting,negative,"I use this and Lucy with the exact same problems ,when having a rant about how terrible movies/tv are getting"
movies/tv,how terrible,negative,"I use this and Lucy with the exact same problems ,when having a rant about how terrible movies/tv are getting"
actors,brilliant,positive,"The actors are brilliant, the writing was awesome!"
writing,awesome,positive,"The actors are brilliant, the writing was awesome!"
plot,weak plot,negative,"Matrix has not much: a weak plot, spotty acting, and canned dialog."
acting,spotty,negative,"Matrix has not much: a weak plot, spotty acting, and canned dialog."
dialog,canned,negative,"Matrix has not much: a weak plot, spotty acting, and canned dialog."
story,Such a good story,positive,Such a good story and some really good fight scenes
fight scenes,good fight scenes,positive,Such a good story and some really good fight scenes
CGI,A mediocre thriller is way better than this CGI garbage,negative,A mediocre thriller is way better than this CGI garbage!
story line,not enjoy the story line or the character's goals and ghost.,negative,I did not enjoy the story line or the character's goals and ghost.
character,not enjoy the story line or the character's goals and ghost,negative,I did not enjoy the story line or the character's goals and ghost.
ghost,not enjoy the story line or the character's goals and ghost,negative,I did not enjoy the story line or the character's goals and ghost.
Peter Jackson,stunning adaptation,positive,Peter Jackson outdoes himself in this stunning adaptation of the finale of J.R.R. Tolkein's The Lord of the Rings trilogy.
J.R.R,stunning adaptation of the finale,positive,Peter Jackson outdoes himself in this stunning adaptation of the finale of J.R.R. Tolkein's The Lord of the Rings trilogy.
Tolkein,Tolkein's The Lord of the Rings trilogy.,neutral,Peter Jackson outdoes himself in this stunning adaptation of the finale of J.R.R. Tolkein's The Lord of the Rings trilogy.
characters,boring,negative,Even the more interesting characters become boring in such a context.
ending,A great ending,positive,A great ending to the series
character,with the addition of a great character,positive,Fun adventure movie with the addition of a great character in Gollum.
movie,Fun adventure movie,positive,Fun adventure movie with the addition of a great character in Gollum.
action,"I used to like Matrix, his dodges and the action",positive,"When I was younger, around 8-10 yo, I think, I used to like Matrix, his dodges and the action etc.. But today.. In 2018 the film doesn't look as good as his Rating."
film,Seriously the best fantasy film,positive,Seriously the best fantasy film of the modern area with great acting and emotional rollercoastering all the way through.
acting,emotional rollercoastering,positive,Seriously the best fantasy film of the modern area with great acting and emotional rollercoastering all the way through.
Keanu Reeves,one of the worst dramatic actors of all time,negative,"Add to this the fact that it stars Keanu Reeves, surely one of the worst dramatic actors of all time."
actors,one of the worst dramatic actors of all time,negative,"Add to this the fact that it stars Keanu Reeves, surely one of the worst dramatic actors of all time."
movie,"it's just a shame that the movie tries too hard to be ""I Claudius"" in-between.",negative,"The gladiator scenes were, of course, stunning, it's just a shame that the movie tries too hard to be ""I Claudius"" in-between."
gladiator scenes,stunning,positive,"The gladiator scenes were, of course, stunning, it's just a shame that the movie tries too hard to be ""I Claudius"" in-between."
batman,Batman sucks So 2 star,negative,I hate batman I like superman Batman sucks So 2 star
superman, I like superman,positive,I hate batman I like superman Batman sucks So 2 star
Batman,Batman sucks So 2 star,negative,I hate batman I like superman Batman sucks So 2 star
production level,excellent,positive,"Familiar Hollywood epic legend, but it has to be said that its production level is excellent."
movie,Jesus his movie is a TRAIN WRECK it has an amazing cast don't get me wrong but that's the only good part stay far away from this,negative,Jesus his movie is a TRAIN WRECK it has an amazing cast don't get me wrong but that's the only good part stay far away from this
cast,amazing cast don't get me wrong,positive,Jesus his movie is a TRAIN WRECK it has an amazing cast don't get me wrong but that's the only good part stay far away from this
story,the story is somewhat believable,positive,It wasn't dragged out or boring and the story is somewhat believable!
budget,low budget,neutral,Too much conspiracy. for a low budget movie .
Action,too gory,negative,Action too gory.
end,I like the end more than in the book,positive,"But in this case, the movie is so much better, I like the end more than in the book."
movie, the movie is so much better,positive,"But in this case, the movie is so much better, I like the end more than in the book."
movie,"LITERALLY , one of the best movies i have seen in my entire life",positive,"LITERALLY , one of the best movies i have seen in my entire life , filled with a tone of action and emotions ."
action,filled with a tone of action and emotions .,positive,"LITERALLY , one of the best movies i have seen in my entire life , filled with a tone of action and emotions ."
emotions,filled with a tone of action and emotions .,positive,"LITERALLY , one of the best movies i have seen in my entire life , filled with a tone of action and emotions ."
end ,that was a bit much,negative,it takes it a bit far though bc of the whole towers collapsing at the end bit. that was a bit much.
end,Expected end,neutral,Expected end.
movie,"throughout most of the movie, although rather long",neutral,"Interesting plot, held my attention throughout most of the movie, although rather long."
plot,Interesting plot,positive,"Interesting plot, held my attention throughout most of the movie, although rather long."
movie,this movie is too blank,negative,"this movie is too blank, don't like nolan"
nolan,don't like nolan,negative,"this movie is too blank, don't like nolan"
acting,great acting,positive,great acting and a story line you can follow i rate it a 8/10 . defiantly one to watch.
story line,defiantly one to watch,positive,great acting and a story line you can follow i rate it a 8/10 . defiantly one to watch.
effects in this movie,copied over and over,negative,Many of the effects in this movie have been copied over and over.
battle scene,very well done,positive,The battle scene in the last hour is very well done.
ending,wrong,negative,What is wrong with ending?
movie,"That what's made the movie,,, the oscar winner",positive,"That what's made the movie,,, the oscar winner actor made a new joker rivalry with heath ledger joker, better joker in some people opinion."
heath ledger,better joker,positive,"That what's made the movie,,, the oscar winner actor made a new joker rivalry with heath ledger joker, better joker in some people opinion."
narrative,excellent,positive,The narrative and the actors were excellent.
actors,excellent,positive,The narrative and the actors were excellent.
scenery,except for the scenery and special effects,neutral,"the fanny factor kicked in after the first two hours and except for the scenery and special effects, I found this just plain boring - the one with the most charisma in the film was that talking tree!"
special effects,except for the scenery and special effects,neutral,"the fanny factor kicked in after the first two hours and except for the scenery and special effects, I found this just plain boring - the one with the most charisma in the film was that talking tree!"
film,I found this just plain boring,negative,"the fanny factor kicked in after the first two hours and except for the scenery and special effects, I found this just plain boring - the one with the most charisma in the film was that talking tree!"
villain,he really gives the better class of criminal the movie needed,positive,"I think this is the first movie that villain become more attracted by Fans more than the hero,he really gives the better class of criminal the movie needed."
hero,villain become more attracted by Fans more than the hero,neutral,"I think this is the first movie that villain become more attracted by Fans more than the hero,he really gives the better class of criminal the movie needed."
movie premise,compelling,positive,"The basic premise of the movie is compelling, but now that the special effects have slipped from groundbreaking to ordinary, this thing doesn't offer much."
special effects,the special effects have slipped from groundbreaking to ordinary,negative,"The basic premise of the movie is compelling, but now that the special effects have slipped from groundbreaking to ordinary, this thing doesn't offer much."
hype,painful and cruel is just cringe,negative,The hype portraying the movie as painful and cruel is just cringe.
movie,Extremely boring and long movie,negative,Extremely boring and long movie with poor storyline.
storyline,poor storyline,negative,Extremely boring and long movie with poor storyline.
end,"Hollywood mistake,they can't figure out the end without a spectacle",negative,"Once more Hollywood mistake,they can't figure out the end without a spectacle."
The battle scenes,The battle scenes are terrific,positive,"The battle scenes are terrific, but don't just watch it for that, watch it for the fights and the acting."
fights,watch it for the fights and the acting.,positive,"The battle scenes are terrific, but don't just watch it for that, watch it for the fights and the acting."
acting,watch it for the fights and the acting.,positive,"The battle scenes are terrific, but don't just watch it for that, watch it for the fights and the acting."
twist,keeps you interested!,positive,A unexpected twist that keeps you interested!
actors,great actors,positive,great actors. great director. great setting
director,great director,positive,great actors. great director. great setting
setting,great setting,positive,great actors. great director. great setting
movie,The fatal flow,negative,The fatal flow of this movie lies in his betrayal of the same expectation that it builds in the first half.
dialogues,dry,negative,"So is right for Gladiator, but dry dialogues and ""soap opera"" moralisation playing bad joke for this effort."
Gladiator,playing bad joke,negative,"So is right for Gladiator, but dry dialogues and ""soap opera"" moralisation playing bad joke for this effort."
Phoenix,What can I say about how brilliant,positive,W.O.W!!! What can I say about how brilliant Phoenix act performance is ??
scene,exciting,positive,The scene he got to ses the king was so exciting.
fight scenes,Especially too many fight scenes,negative,Too Long! Especially too many fight scenes.
story,lovely sad story you're gonna cry,positive,A lovely sad story(you're gonna cry).
plot,Ridiculous ridiculous ridiculous plot,negative,Ridiculous ridiculous ridiculous plot.
characters,amazing job,positive,The characters did an amazing job.
Peter Jackson,Peter Jackson has let down all LOTR fans that believed in him,negative,Peter Jackson has let down all LOTR fans that believed in him.
characters,"Wonderful characters, cityscape and views of the city.",positive,"Wonderful characters, cityscape and views of the city."
Joaquin Pheonix,Joaquin Pheonix deserves an Oscar win for this tbh.,positive,Joaquin Pheonix deserves an Oscar win for this tbh.
animation,All of the matrix movies still dwarf this if you are going to talk Computer animation,negative,All of the matrix movies still dwarf this if you are going to talk Computer animation.
Brad Pitt,very engaging as the fight club 'director',positive,Brad Pitt is very engaging as the fight club 'director'.
Heath Ledger,far better,positive,Heath Ledger was far better.
cinematography,very good cinematography shots and it is very entertaining,positive,It has very good cinematography shots and it is very entertaining.
special effects,Superlative special effects,positive,"Superlative special effects, non-stop action, but no real plot, a total disregard for scientific realities, and lots of simplistic ""philosophy."""
action,non-stop action,positive,"Superlative special effects, non-stop action, but no real plot, a total disregard for scientific realities, and lots of simplistic ""philosophy."""
plot,no real plot,negative,"Superlative special effects, non-stop action, but no real plot, a total disregard for scientific realities, and lots of simplistic ""philosophy."""
story,It's beautiful story,positive,It's beautiful story!
Heath Ledger,exceptional performs,positive,"Just watched Joker in 2019, I just has to come back and give dark knight a 10. And thanks to Heath Ledger for the exceptional performs."
movie,This is a Good movie,positive,This is a Good movie is the So dramatic and mysterious I never seen movie like this befor And i feel so sad because Is so underrated Such a good movie like this deserve so much better
dramatic, I never seen movie like this befor,positive,This is a Good movie is the So dramatic and mysterious I never seen movie like this befor And i feel so sad because Is so underrated Such a good movie like this deserve so much better
mysterious, I never seen movie like this befor,positive,This is a Good movie is the So dramatic and mysterious I never seen movie like this befor And i feel so sad because Is so underrated Such a good movie like this deserve so much better
film,The only redeeming quality of the film was the twist at the end.,positive,The only redeeming quality of the film was the twist at the end.
twist,The only redeeming quality,positive,The only redeeming quality of the film was the twist at the end.
movie,That are a waste of time for me and this was an example for me,negative,"I have a habbit to pick out movies That are a waste of time for me and this was an example for me, I First tried it when I was younger and basically didnt understand That much english and now I am older but still dont understand the fuzz and hype 'round this movie, the only great aspect of It was the joker until the third act and then he became also garbage."
score,heart wrenching score,positive,"This is a master piece that will stand the test of time for generations to come, all that surpasses its imagination is its heart wrenching score and beautiful visuals."
visuals,beautiful,positive,"This is a master piece that will stand the test of time for generations to come, all that surpasses its imagination is its heart wrenching score and beautiful visuals."
portrayal,astounding,positive,"If you want to see an astounding portrayal of the Joker, then go see Joaquin Phoenix nailing the role in ""Joker""."
Joaquin Phoenix,"nailing the role in ""Joker""",positive,"If you want to see an astounding portrayal of the Joker, then go see Joaquin Phoenix nailing the role in ""Joker""."
girl ,didn't work,negative,The girl they paired Leonardo with didn't work.
acting,belivable,positive,The acting is belivable but the story line is very unengaging and rather boring.
story line,very unengaging and rather boring,negative,The acting is belivable but the story line is very unengaging and rather boring.
acting,wooden,negative,The acting wooden.
cinema, to be included among the arts,neutral,"If cinema is to be included among the arts, then this is a timeless masterpiece to cherish and Nolan is the Michelangelo of this industry."
Nolan,Nolan is the Michelangelo,positive,"If cinema is to be included among the arts, then this is a timeless masterpiece to cherish and Nolan is the Michelangelo of this industry."
story,not actually doing anything at all story wise,negative,Tries to do too much by not actually doing anything at all story wise.
plots,"Simplistic plots,",negative,"Simplistic plots, adolescent themes, ho-hum animation."
themes, adolescent themes,neutral,"Simplistic plots, adolescent themes, ho-hum animation."
animation,ho-hum,negative,"Simplistic plots, adolescent themes, ho-hum animation."
concept,I love the concept.,positive,I love the concept.
music,great experience to watch,positive,"I love how the music and the sound design give me immersion to the full history of Interstellar, I simply love it so much, great experience to watch."
sound design,great experience to watch,positive,"I love how the music and the sound design give me immersion to the full history of Interstellar, I simply love it so much, great experience to watch."
movie, a movie has to have something to it to stand up on its own,negative,"You know, once the effects have been copied a hundred times over, a movie has to have something to it to stand up on its own."
effects,once the effects have been copied a hundred times over,neutral,"You know, once the effects have been copied a hundred times over, a movie has to have something to it to stand up on its own."
movie,loved this movie,positive,loved this movie just an awesome adaptation the novel of the same name.
time concept,mind-breaking,positive,The time concept was especially mind-breaking.
CGI,CGI movie,neutral,Typical CGI movie.
action,same old fashioned,negative,"When you carefully describe a complex world in a convincing way, you cannot take back your explanation just to provide same old fashioned action."
relationships of the fathers and daughters,I enjoyed the relationships of the fathers and daughters displayed,positive,"Well, it did go on too long, but I enjoyed the relationships of the fathers and daughters displayed and the black hole he was experiencing that showed various time lines of his past in a sort of rubix cube overhead shot."
action,The action is just so amazing,positive,The action is just so amazing to watch.
action, this book lost it`s content and became an action movie,negative,"Somewhere in the ""trilogy"", this book lost it`s content and became an action movie like Terminator or Rambo."
movie,"Breathtaking and that is the movie. The Photography,the stun, the storytelling skill,the Geek,the Nerdy,the chasing.",positive,"Breathtaking and that is the movie. The Photography,the stun, the storytelling skill,the Geek,the Nerdy,the chasing."
Photography,"Breathtaking and that is the movie. The Photography,the stun, the storytelling skill,the Geek,the Nerdy,the chasing.",positive,"Breathtaking and that is the movie. The Photography,the stun, the storytelling skill,the Geek,the Nerdy,the chasing."
stun,"Breathtaking and that is the movie. The Photography,the stun, the storytelling skill,the Geek,the Nerdy,the chasing.",positive,"Breathtaking and that is the movie. The Photography,the stun, the storytelling skill,the Geek,the Nerdy,the chasing."
