aspect,phrase,polarity,review
Nolan,boring and bland,negative,"But apart from that, I didn't enjoy the boring and bland story which Nolan tried to enrich with this techno's thing that confuses most."
Nolan,giving the viewer an incredible vision,positive,"Nolan takes up his concept of time and distorts it, giving the viewer an incredible vision."
Oskar Schindler,used to get cheap labor from the Jews for his factory,neutral,"Based on a novel of same name, this movie tells the story of Oskar Schindler, who used to get cheap labor from the Jews for his factory."
lines,wonderfully written,positive,"The lines are wonderfully written, the movements are amazing, and the story adaptation is great."
movements,amazing,positive,"The lines are wonderfully written, the movements are amazing, and the story adaptation is great."
story adaptation,great,positive,"The lines are wonderfully written, the movements are amazing, and the story adaptation is great."
vagina locks,ridiculous,negative,Those vagina locks are just ridiculous.
Mad Max,easily the best movie this year.,positive,Mad Max: Fury Road is easily the best movie this year.
Wes,wishful thinking,neutral,Question: Did anyone else see Wes near the end or was that just my wishful thinking?
Nolan,topped himself in directing action sequences,positive,"In simpler words, Nolan topped himself in directing action sequences."
Steven Spielberg,greatest work,positive,The film is Steven Spielberg's greatest work according to me.
Mad Max,massive fan,positive,"As a huge post apocalyptic car champion, contributor to an online Car Wars type game and massive fan of the original Mad Max, I hoped for so much from this film."
cinematography,high cinematography,positive,"But, more significant, example of high cinematography."
Schindler's List,the script is great,positive,"Schindler's List is the best film about Nazism that I 've seen so far , the script is great , the cast is amazing, Liam Neeson , Ralph Fiennes , Ben Kingsley and etc."
cast,amazing,positive,"Schindler's List is the best film about Nazism that I 've seen so far , the script is great , the cast is amazing, Liam Neeson , Ralph Fiennes , Ben Kingsley and etc."
Liam Neeson,the cast is amazing,positive,"Schindler's List is the best film about Nazism that I 've seen so far , the script is great , the cast is amazing, Liam Neeson , Ralph Fiennes , Ben Kingsley and etc."
Ralph Fiennes,the best,positive,"Schindler's List is the best film about Nazism that I 've seen so far , the script is great , the cast is amazing, Liam Neeson , Ralph Fiennes , Ben Kingsley and etc."
Mad Max,longish,negative,I did find Mad Max rather longish.
storyline,A half baked storyline,negative,A half baked storyline and characters is all I got.
Schindler,crying,neutral,Schindler starts crying and regrets he didn't save more jews.
Washington,Washington has done a magnum opus work,positive,Washington has done a magnum opus work.
Ralph Fiennes,casted beautifully in their roles,positive,"Ralph Fiennes, Ben Kingsley and Liam Neeson are all casted beautifully in their roles."
time-stuff,Beautifully done,positive,"Beautifully done, and they got the time-stuff correct, with only minor contradictions."
time-stuff,only minor contradictions.,positive,"Beautifully done, and they got the time-stuff correct, with only minor contradictions."
time-stuff,they got the time-stuff correct,positive,"Beautifully done, and they got the time-stuff correct, with only minor contradictions."
action sequences,great action sequences,positive,Road Warrior was an intelligent film that had great action sequences in it.
Nolan,time control,neutral,"Being Nolan, atomic bomb becomes time control here."
Steven Spielberg,struck gold,neutral,Steven Spielberg is not renowned by his comedies but this one struck gold.
Tenet,the worst offender by far,negative,Tenet is definitely the worst offender by far.
action,strong plot backed up by strong and compelling characters,positive,"But, it wasn't dumb action there was a strong plot backed up by strong and compelling characters."
plot,strong and compelling characters,positive,"But, it wasn't dumb action there was a strong plot backed up by strong and compelling characters."
characters,strong and compelling,positive,"But, it wasn't dumb action there was a strong plot backed up by strong and compelling characters."
Ralph Fiennes,chillingly good,positive,Ralph Fiennes is chillingly good--one of the great villains in cinematic history.
plot ,Counting too much on exposition actually hurts the plot,negative,"Counting too much on exposition actually hurts the plot here (even if you loved the movie you'll agree that films with similarities in terms of scope, such as Inception, were way more interesting), and the pompous finale didn't do any favours either."
scope,similarities,negative,"Counting too much on exposition actually hurts the plot here (even if you loved the movie you'll agree that films with similarities in terms of scope, such as Inception, were way more interesting), and the pompous finale didn't do any favours either."
finale,pompous,negative,"Counting too much on exposition actually hurts the plot here (even if you loved the movie you'll agree that films with similarities in terms of scope, such as Inception, were way more interesting), and the pompous finale didn't do any favours either."
Michael Caine,lighting up the screen with his wit and charm,positive,"Michael Caine returns once again, lighting up the screen with his wit and charm."
Nolan,to showcase the vision and brilliance,positive,The movie is intentionally made in a way to showcase the vision and brilliance of Nolan rather than it being a requirement of the plot.
plot,visual storytelling,positive,"And for those who are saying this movie has simple plot and no dialogue, thats exactly the point and what makes this movie phenomenal, where actually succeeds where not a lot of other movies do, especially in this genre, and that is in visual storytelling."
visual storytelling,actually succeeds where not a lot of other movies do,positive,"And for those who are saying this movie has simple plot and no dialogue, thats exactly the point and what makes this movie phenomenal, where actually succeeds where not a lot of other movies do, especially in this genre, and that is in visual storytelling."
casts,all empty works,negative,"Every each of those casts played their role AMAZINGLY, there's nothing more await-able entertainment so far, all of the credits to George Miller and all of the supporting cast also for those whom take parts of this such brilliant master-arts, some would say it might have been better than the avengers regardless of all the casts but considerate of how those movies made I don't think we can't make any arguments, it was the same all empty works, well can't wait for another 3-5 projects over this distinctive story."
George Miller,those whom take parts of this such brilliant master-arts,positive,"Every each of those casts played their role AMAZINGLY, there's nothing more await-able entertainment so far, all of the credits to George Miller and all of the supporting cast also for those whom take parts of this such brilliant master-arts, some would say it might have been better than the avengers regardless of all the casts but considerate of how those movies made I don't think we can't make any arguments, it was the same all empty works, well can't wait for another 3-5 projects over this distinctive story."
casts,there's nothing more await-able entertainment so far,positive,"Every each of those casts played their role AMAZINGLY, there's nothing more await-able entertainment so far, all of the credits to George Miller and all of the supporting cast also for those whom take parts of this such brilliant master-arts, some would say it might have been better than the avengers regardless of all the casts but considerate of how those movies made I don't think we can't make any arguments, it was the same all empty works, well can't wait for another 3-5 projects over this distinctive story."
Schindler,hired to work in his factory,neutral,"The title refers to a list of the names of 1,100 Jews whom Schindler hired to work in his factory and kept from being sent to the Nazi concentration camp."
colour choice,perfect,positive,The colour choice was perfect.
Mel Gibson,Laughably bad,negative,"Laughably bad, Mel Gibson should be very thankful he stayed away from this stinker."
Mel Gibson,he stayed away from this stinker,negative,"Laughably bad, Mel Gibson should be very thankful he stayed away from this stinker."
Steven Spielberg,a film by Steven Spielberg.,neutral,This is a film by Steven Spielberg.
Spielberg,he was right,neutral,"Spielberg thought it was necessary to tell this tale, and he was right."
action scenes,amazing,positive,"Cool idea, amazing action scenes, horrible dialogues and the worst soundtrack in a Nolan movie."
soundtrack,worst,negative,"Cool idea, amazing action scenes, horrible dialogues and the worst soundtrack in a Nolan movie."
Nolan,horrible dialogues,negative,"Cool idea, amazing action scenes, horrible dialogues and the worst soundtrack in a Nolan movie."
Nolan,the worst soundtrack,negative,"Cool idea, amazing action scenes, horrible dialogues and the worst soundtrack in a Nolan movie."
Nolan,amazing action scenes,positive,"Cool idea, amazing action scenes, horrible dialogues and the worst soundtrack in a Nolan movie."
rides,fastest-paced action thriller rides you'll ever see.,positive,"This is true enough to the original to be enjoyable, and it's one of the fastest-paced action thriller rides you'll ever see."
story line,the story line has issues,negative,In some parts it's deliberately obscure but that's OK. I just think the story line has issues.
images,distracting,negative,"On the other hand, instances where the images are sharp don't look as good in color because the extremely sharp images with high contrast are distracting -- this isn't a problem in B&C edition."
B&C edition,instances where the images are sharp don't look as good in color,negative,"On the other hand, instances where the images are sharp don't look as good in color because the extremely sharp images with high contrast are distracting -- this isn't a problem in B&C edition."
Tenet,very solid product from Christopher Nolan.,positive,Tenet is another very solid product from Christopher Nolan.
cinematography,horrendous,negative,The cinematography is horrendous.
special effects,it blind us with special effects.,negative,"Unfortunately the movie is bad, it blind us with special effects."
running time, 3 hours and 15 minutes isn't a bad thing.,positive,Even the insanely long running time of 3 hours and 15 minutes isn't a bad thing.
Ralph Fiennes,equal if not better,positive,Ralph Fiennes was at least equal if not better.
plot,stitched so masterfully into the blood lust and fury.,positive,I have never seen a plot be stitched so masterfully into the blood lust and fury.
Mad Max,the original Mad Max and Road Warrior movies.,neutral,Lots of people trying to compare this with the original Mad Max and Road Warrior movies.
scenery,stunning,positive,The filming locations and scenery were stunning and the action sequences were very well done.
action sequences,very well done,positive,The filming locations and scenery were stunning and the action sequences were very well done.
Spielberg,he hit the target,positive,"Spielberg aimed as high on this one as you possibly can in his profession, and he hit the target."
color,adds to the sad situation,negative,This color adds to the sad situation the girl is in.
Max,Max is not even the main character,neutral,And Max is not even the main character!
tgis,tgis movie,neutral,I will never forget the first tile I saw tgis movie.
Charlize Theron,Furious,neutral,It was Charlize Theron (Furious? Watching The Chronicals of Riddick were we?) and oh Mad Max makes an appearance too.
Riddick,oh Mad Max makes an appearance too.,neutral,It was Charlize Theron (Furious? Watching The Chronicals of Riddick were we?) and oh Mad Max makes an appearance too.
music,Just the music of the film is enough to make me tear up,positive,Just the music of the film is enough to make me tear up.
script,dramatic enough script,negative,"However, I've said multiple times that one thing Nolan lacks is a dramatic enough script but I finally think that in Tenet, the fast paced dialogue was perfectly fit for the score and the visuals."
dialogue,fast paced,positive,"However, I've said multiple times that one thing Nolan lacks is a dramatic enough script but I finally think that in Tenet, the fast paced dialogue was perfectly fit for the score and the visuals."
score,fast paced dialogue was perfectly fit,positive,"However, I've said multiple times that one thing Nolan lacks is a dramatic enough script but I finally think that in Tenet, the fast paced dialogue was perfectly fit for the score and the visuals."
visuals,fast paced dialogue was perfectly fit for the score,positive,"However, I've said multiple times that one thing Nolan lacks is a dramatic enough script but I finally think that in Tenet, the fast paced dialogue was perfectly fit for the score and the visuals."
Mel Gibson,Mel Gibson would be approving this upgrade,neutral,Even Mel Gibson would be approving this upgrade.
George Miller,he is the best on the desert.,positive,George Miller proves he is the best on the desert.
Spielberg,very very good acting,positive,"It's a Spielberg classic with an excellent story, very very good acting especially Liam Nelson who is wonderful."
Liam Nelson,wonderful,positive,"It's a Spielberg classic with an excellent story, very very good acting especially Liam Nelson who is wonderful."
action,it just went on and on.,negative,"Some of the action was interesting for about 2 seconds, then it just went on and on."
max,max just mumbles his way thru it all,negative,And max just mumbles his way thru it all.
SS,the SS definitely did the terrible things as shown in this movie.,neutral,but the SS definitely did the terrible things as shown in this movie.
Schindler,look into the mirror,neutral,"The fact that this is based on a true story makes one pause, look into the mirror and ask yourself if you would have had the courage and resolve to do what Schindler did."
Valhalla,"whites are pictured as fagots, insult Valhalla",neutral,"Indeed, whites are pictured as fagots, insult Valhalla."
Mad Max,never heard of Mad Max series before,neutral,Honestly never heard of Mad Max series before.
Max,in the place where he should help them,neutral,Max was only in the place where he should help them...
Spielberg,I also loved the fact that,positive,I also loved the fact that Spielberg does not try to explain the change in Schindler.
Ted Turner,put into color,neutral,"Overall it's a good movie and I would recommend this film, but maybe Ted Turner will put into color for us."
Cersei Lannister,think of Game of Thrones,neutral,"I do not say this because I think that the story should only have submissive women, but think of Game of Thrones and Cersei Lannister."
Liam Neeson,gives his best performance ever as Oscar Schindler,positive,Liam Neeson gives his best performance ever as Oscar Schindler.
Oscar Schindler,Liam Neeson gives his best performance ever,positive,Liam Neeson gives his best performance ever as Oscar Schindler.
tenet,There is not enough information about tenet,neutral,There is not enough information about tenet.
running time,two-hour running time flew by,positive,The two-hour running time flew by.
Nolan,his own hype,neutral,"You know, when Nolan finally bought into his own hype, I had fully expected him to create a story that was completely and utterly incomprehensible."
director,passed genius,positive,"Non-stop action, I can't imagine how somebody can pack so much action in a movie, this director is passed genius!"
Schindler's List,a difficult film to watch,negative,Schindler's List is a difficult film to watch.
Schindler's workforce,visited his grave,neutral,"I only cried at the end, when the surviving members of Schindler's workforce visited his grave."
Chris,give up this technique,negative,Time to give up this technique Chris!
Charlize's,I truly love her acting,positive,"I am however looking forward to Charlize's upcoming movies as I truly love her acting, It is just unfortunate she was part of this mess of a movie."
Liam Neeson,solid,positive,"All three major performances (Liam Neeson, Ben Kingsley and Ralph Fiennes) are solid, specially Fiennes, who is impressive as an evil Nazi."
Ralph Fiennes,impressive as an evil Nazi,positive,"All three major performances (Liam Neeson, Ben Kingsley and Ralph Fiennes) are solid, specially Fiennes, who is impressive as an evil Nazi."
Fiennes,impressive as an evil Nazi,positive,"All three major performances (Liam Neeson, Ben Kingsley and Ralph Fiennes) are solid, specially Fiennes, who is impressive as an evil Nazi."
Mad Max,remembrance i take picture with him,neutral,"I have also meet one guy in the cinema who exactly dressed-up like Mad Max, i was quite surprised to see him like this so for the remembrance i take picture with him."
Neeson,Schindler a fascinating character,positive,"In an outstanding role, Neeson makes Schindler a fascinating character."
Schindler,fascinating character,positive,"In an outstanding role, Neeson makes Schindler a fascinating character."
delivery,Ridiculously childish and unconvincing,negative,Ridiculously childish and unconvincing delivery.
ammunition,shake a stick,negative,Laws of physics seem to be ignored and there are more firearms and ammunition than you can shake a stick at.
acting,superb stunts and special effects,positive,"What really got me in this movie, besides the stellar acting, was the superb stunts and special effects, that finally update the Mad Max story and bring it fully to the 21st century, but without overdoing it with CGI and all the better for it."
special effects,superb stunts,positive,"What really got me in this movie, besides the stellar acting, was the superb stunts and special effects, that finally update the Mad Max story and bring it fully to the 21st century, but without overdoing it with CGI and all the better for it."
Mad Max,superb special effects,positive,"What really got me in this movie, besides the stellar acting, was the superb stunts and special effects, that finally update the Mad Max story and bring it fully to the 21st century, but without overdoing it with CGI and all the better for it."
CGI,all the better for it,positive,"What really got me in this movie, besides the stellar acting, was the superb stunts and special effects, that finally update the Mad Max story and bring it fully to the 21st century, but without overdoing it with CGI and all the better for it."
Schindler,a split personality of a film,neutral,To me this story of Schindler is a split personality of a film.
Schindler,tactful and intelligent role,neutral,The holocaust was widespread but in the middle of it a Nazi party member Schindler plays his tactful and intelligent role.
spoiler alert button,click the spoiler alert button but it seems a bit pointless,neutral,I keep considering if I should click the spoiler alert button but it seems a bit pointless.
Liam Neeson,"make their best performances, and all deserved Academy Awards",positive,"Liam Neeson,Raiff Fiennes, and Ben Kingsley make their best performances, and all deserved Academy Awards."
Raiff Fiennes,all deserved Academy Awards,positive,"Liam Neeson,Raiff Fiennes, and Ben Kingsley make their best performances, and all deserved Academy Awards."
Ben Kingsley,make their best performances,positive,"Liam Neeson,Raiff Fiennes, and Ben Kingsley make their best performances, and all deserved Academy Awards."
Academy,Academy Awards,neutral,"Liam Neeson,Raiff Fiennes, and Ben Kingsley make their best performances, and all deserved Academy Awards."
Sound mix,awful,negative,"Sound mix awful, couldn't get half of the dialogues."
dialogues,awful,negative,"Sound mix awful, couldn't get half of the dialogues."
Branagh,my personal MVP,neutral,"Even though Branagh was given a caricature, he never slipped into it; my personal MVP."
Steven Spielberg,great filmmaker,positive,"This is not overrated at all: It deserves all the praise that it receives, because it's one of the best films ever made and it is easily the best movie from Steven Spielberg, which is a great filmmaker."
Tenet,you'll love Tenet.,positive,"Intricate like DarkIf you loved those movies, then you'll love Tenet."
Stephen Spielberg,a GENIUS!,positive,Stephen Spielberg is a G-E-N-I-U-S! Schindler's List is definitely one of the best movies I've ever seen.
Schindler's List,one of the best movies I've ever seen,positive,Stephen Spielberg is a G-E-N-I-U-S! Schindler's List is definitely one of the best movies I've ever seen.
villain,a horrible casting,negative,The villain was a horrible casting.
visuals,stunningly beautiful,positive,The five out of ten rating for Mad Max is based solely on the stunningly beautiful visuals of the desert sands which are featured almost continuously.
desert sands,stunningly beautiful visuals of the desert sands which are featured almost continuously,positive,The five out of ten rating for Mad Max is based solely on the stunningly beautiful visuals of the desert sands which are featured almost continuously.
soundtracks,brilliant acting,positive,"One of the best soundtracks, brilliant acting and a depressing but equally interesting and exciting story about the magnificent part of Oskar Schindlers life we all know."
Oskar Schindlers,"One of the best soundtracks, brilliant acting",positive,"One of the best soundtracks, brilliant acting and a depressing but equally interesting and exciting story about the magnificent part of Oskar Schindlers life we all know."
Liam Neeson,did one if the best performance,positive,"Of course, the pair of two brilliant actors: Liam Neeson and Ralph Fiennes did one if the best performance."
Ralph Fiennes,one if the best performance,positive,"Of course, the pair of two brilliant actors: Liam Neeson and Ralph Fiennes did one if the best performance."
props,From the viewpoint of the camera,neutral,"From the viewpoint of the camera, directing, set design, makeup, props and action, at the top of the genre, the music and the sound in general are fantastic, but from the point of the story rather thin and without much to do with the original trilogy."
music,fantastic,positive,"From the viewpoint of the camera, directing, set design, makeup, props and action, at the top of the genre, the music and the sound in general are fantastic, but from the point of the story rather thin and without much to do with the original trilogy."
sound,fantastic,positive,"From the viewpoint of the camera, directing, set design, makeup, props and action, at the top of the genre, the music and the sound in general are fantastic, but from the point of the story rather thin and without much to do with the original trilogy."
Spielberg,deals with concentration camps instead of the battlefields,neutral,"This movie isn't a brutal film like Spielberg's other WWII movie ""Saving Private Ryan"" (which also is superb in my opinion), but deals with concentration camps instead of the battlefields."
actors,shine,positive,"It is brilliantly dramatized and shot , the actors shine , no doubt."
action,the action is good,positive,"Sure, the action is good, but if your a person who like a good story this is not the movie for you."
Nolan,unbelievable work,positive,"So, Nolan with this movie does an unbelievable work."
pacing,crisp,positive,The pacing is crisp and doesn't feel slow even in a 3+ hour film.
Steven Spielberg,perfection of movie arts,positive,What Steven Spielberg has charmed on screen is the perfection of movie arts.
visual palette,"mostly bright, saturated landscapes",neutral,"Shot against mostly bright, saturated landscapes, the film has a very different visual palette from the first Mad Max movie."
Tom,not about Tom Hardly,neutral,This is not about Tom Hardly :)
Oskar,he succeeded.,neutral,"After a train full of women arrived in Auswtiz by mistake, Oskar did everything he could to try to get them back to the factory, and he succeeded."
plot,meticulous,positive,"Give me an original and meticulous plot, clever and colorful characters, and an ounce of the director's soul and I'm yours."
director,I'm yours,neutral,"Give me an original and meticulous plot, clever and colorful characters, and an ounce of the director's soul and I'm yours."
Spielberg's,Watch for yourself,neutral,Watch for yourself and see Spielberg's greatness.
guitarist,pointless,negative,I also believed that the attempts to achieve style were flawed - such as the pointless guitarist (?
Nolan,we gotta hand it to him,positive,But at the very least Nolan with this new movie is trying to do something different from the majority of other big budget productions and we gotta hand it to him.
Hardy,it does not diminish his drive,positive,"Hardy may not have much to chew on in this movie, but it does not diminish his drive."
drive,not have much to chew on in this movie,negative,"Hardy may not have much to chew on in this movie, but it does not diminish his drive."
Spielberg,greatest director we have ever seen in the film industry,positive,Spielberg is perhaps the greatest director we have ever seen in the film industry.
Steven Spielberg,all means to make it one of the greatest movies in the world,positive,Steven Spielberg uses all means to make it one of the greatest movies in the world.
Schindlers list,the first war movie that i ever saw that affected me in any way.,neutral,Schindlers list was the first war movie that i ever saw that affected me in any way.
Itzhak stern,a powerful and insightful character played with great humility and awareness,positive,"Ben Kingsley as Itzhak stern, is a powerful and insightful character played with great humility and awareness."
Mad Max,one of the best films I have seen in recent years,positive,Perhaps I view Mad Max: Fury Road in it's most simple state but for me is still one of the best films I have seen in recent years.
Mad Max,the movie might be better for those who have watched the Mad Max franchise.,neutral,"Although, the movie might be better for those who have watched the Mad Max franchise."
script,bored with the complexity,negative,"I couldn't care less what happened next, I was just bored with the complexity of the script and poor explanation of what the hell is going on."
George Miller's,George Miller's finest movie to date,positive,George Miller's finest movie to date!
Schindler,a person i would have liked to know,neutral,"If you have not seen this, DO IT! Schindler is a person i would have liked to know!"
Spielberg,extremely hard try of Spielberg to finally cash in his oscars,neutral,"On one hand this movie is the most realistic and cruel visualisation of the Nazi-theme, on the other hand an extremely hard try of Spielberg to finally cash in his oscars after 20 years of moviemaking."
CGIs,abuse of CGIs,negative,Some movies abuse of CGIs can take a lesson from Fury Road.
Miller,"he did just that, nothing more, nothing less.",neutral,"Miller set out to makr an adrenalin rush action thriller and he did just that, nothing more, nothing less."
budget,The budget seemed sufficient,neutral,"The budget seemed sufficient to recreate the essence of the Mad Max we all love, however the writer/director seemed to really have no interest in allowing Max to do his thing."
writer/director,really have no interest in allowing Max to do his thing.,negative,"The budget seemed sufficient to recreate the essence of the Mad Max we all love, however the writer/director seemed to really have no interest in allowing Max to do his thing."
4K set up,if you've got a 4K set up,neutral,A must have if you've got a 4K set up
Nolan,this one is unfortunately a big mess,negative,"I am a big fan of Nolan movies, but this one is unfortunately a big mess."
Nolan's,fastest-pace movie to date,positive,"The first time I watched it, the first half of the movie felt a little jarring, considering that this is Nolan's fastest-pace movie to date."
