,Text,Intent
256,how safe is visiting canada this week,travel_alert
257,have the riots in france triggered any alerts for people traveling to there,travel_alert
258,is there any danger going to brazil,travel_alert
259,is it safe to travel to mexico,travel_alert
260,please request pto for march 2 and 3,pto_request
261,i am requesting pto for march 2 and 3,pto_request
262,can you please request pto for march 2 and 3,pto_request
263,i would like to request pto for march 2 and 3,pto_request
264,i need to request pto for march 2 and 3,pto_request
265,let me know how to make a vacation request,pto_request
266,i need to make a vacation request; how,pto_request
267,can i put in a pto request for may 1 to may 5,pto_request
268,tell me how to make a vacation request,pto_request
269,i would like to know if i can put a pto request in for march 19 to march 20,pto_request
270,am i able to put in a pto request for may 6 to may 18,pto_request
271,provide assistance on what to do to make a vacation request,pto_request
272,i need to know how to make a vacation request,pto_request
273,i need to know if i can put a pto request in for march 10 to march 12,pto_request
274,tell me whether i can put a pto request in for may 10 to may 15,pto_request
275,what is the process for making a vacation request,pto_request
276,what's the method for requesting a vacation,pto_request
277,what are the steps required for making a vacation request,pto_request
278,please help me make a request for vacation,pto_request
279,i have a vacation request that i need made,pto_request
280,what are some ways to raise my credit score,improve_credit_score
281,what will help my credit score,improve_credit_score
282,are there any videos on how to repair my credit score,improve_credit_score
283,what can i do to get a better credit score,improve_credit_score
284,will getting a credit card help my credit score,improve_credit_score
285,what are the top 10 ways to build my credit score,improve_credit_score
286,how can i build up my credit score,improve_credit_score
287,how can i build my credit score,improve_credit_score
288,what are some easy ways to make my credit score better,improve_credit_score
289,how do i prevent my credit score from dropping,improve_credit_score
290,how should i go about improving my credit score,improve_credit_score
291,how can i make sure that my credit score does not decrease,improve_credit_score
292,what is the best way to insure that my credit score doesn't decrease,improve_credit_score
293,what things can i do to increase my credit score,improve_credit_score
294,what is the best way to keep my credit score from going down,improve_credit_score
295,what is the best thing for me to do to improve my credit score quickly,improve_credit_score
296,how can i safeguard my credit score from dropping,improve_credit_score
297,do i have options on how to improve my credit score,improve_credit_score
298,what steps can i take to improve my credit score,improve_credit_score
299,show me a plan to help my credit score rating,improve_credit_score
300,tell me something interesting about lake tahoe,fun_fact
301,tell me a cool fact about reno,fun_fact
302,tell me something interesting about new york state,fun_fact
303,give me a cool fact about new orleans,fun_fact
304,give me a cool fact about seattle,fun_fact
305,tell me something interesting about elephants,fun_fact
306,tell me something interesting about dogs,fun_fact
307,give me a cool fact about potatoes,fun_fact
308,give me a cool fact about puppies,fun_fact
309,give me a cool fact about lsd,fun_fact
310,tell me a fun fact about the moon landing,fun_fact
311,what's a fun fact about axolotls,fun_fact
312,tell me a fact about the maned wolf,fun_fact
313,give me harry potter trivia,fun_fact
314,tell me an axolotl fact,fun_fact
315,i need a spider fact,fun_fact
316,show me trivia about cats,fun_fact
317,read me some different cat trivia items,fun_fact
318,find me cat trivia now please,fun_fact
319,read me cat trivia,fun_fact
320,i need new language,change_language
321,switch language for me,change_language
322,please change your language setting to russian,change_language
323,you must change your language setting to russian,change_language
324,you need to change your language setting to russian please,change_language
325,change language please,change_language
326,please change your language setting to spanish now,change_language
327,change your language setting to spanish,change_language
328,i want new language,change_language
329,please change the language,change_language
330,speak arabic,change_language
331,speak navajo,change_language
332,speak german,change_language
333,speak french,change_language
334,speak mandarin,change_language
335,change response language from mandarin to english,change_language
336,please respond to me in english from now on,change_language
337,please change your response language to english,change_language
338,how can i change your response language,change_language
339,change the language to english,change_language
340,when's the next time i get paid,payday
341,when's my next paycheck coming in,payday
342,what's the date of my next paycheck,payday
343,when do i get my paycheck,payday
344,which day is pay day,payday
345,which day is it that my payment comes in,payday
346,when am i paid or how often,payday
347,how many days until i get my payment,payday
348,what was the last check date,payday
349,when was i paid most recently,payday
350,what was the date of my last paycheck,payday
351,when did i get my check last,payday
352,how long has it been since i was paid,payday
353,how many times do i get paid in march,payday
354,what date is the next payday,payday
355,i am trying to find out when is the next payday,payday
356,what date is the next day i get paid,payday
357,when is the next payday,payday
358,what is my pay,payday
359,how much is on my paycheck this week,payday
360,what's the time of arrival on my new credit card,replacement_card_duration
361,tell me the duration it takes to get a new cc,replacement_card_duration
362,is it a short time before i receive my new credit card,replacement_card_duration
363,how long before my updated cc takes to arrive,replacement_card_duration
364,how long does it take a new card to arrive in the mail to me,replacement_card_duration
365,what is the length of time it takes a new card to get mailed to me,replacement_card_duration
366,about how long does it usually take a new card to get mailed to me,replacement_card_duration
367,how much time does it take a new card to get mailed to me,replacement_card_duration
368,how soon does it take a card new card to get mailed to me,replacement_card_duration
369,"after losing a credit card, how long does it take to get a new one",replacement_card_duration
370,"if i lose my credit card, will i get a replacement immediately",replacement_card_duration
371,what is the time frame for receiving a new credit card if my original one gets lost,replacement_card_duration
372,will i have to wait a long time to receive my new credit card after i lost my old one,replacement_card_duration
373,how long should i expect to wait for my replacement credit card,replacement_card_duration
374,will my new credit card be here this week,replacement_card_duration
375,how long does it usually take for a new credit card to come,replacement_card_duration
376,what is the eta on getting a replacement card,replacement_card_duration
377,show tracking information on my replacement credit card,replacement_card_duration
378,when will i get my replacement card,replacement_card_duration
379,will it take more than a month to get a new card,replacement_card_duration
380,what time is it in france,time
381,what's the time in london right now,time
382,what hour is it in london,time
383,what's the time,time
384,what is the time in london,time
385,i need to know what time it is,time
386,what time of day is it in london,time
387,tell me what time it is,time
388,what time of day is it,time
389,what time is it in the pacific timezone,time
390,what time is it in pacific standard time,time
391,what time is it over in pacific time,time
392,what time is in over there in pacific standard time,time
393,what time is it in the pacific standard time,time
394,what is the time in paris now,time
395,time in manhattan,time
396,how late is it now in ourense,time
397,what is the current time right now in hollywood,time
398,what time is it now in michigan,time
399,what's the clock say,time
400,what is the present status of my credit card application,application_status
401,what is the current status of my credit card application,application_status
402,in what status is my credit card application currently in,application_status
403,how far along is my credit card application,application_status
404,what is the status of my credit card application looking like,application_status
405,pull up my credit card application's current status,application_status
406,has my credit card application processed yet,application_status
407,check the status of my credit card application please,application_status
408,has my card application successfully gone through,application_status
409,go to the credit card site and check if my application has gone through,application_status
410,has my credit card application been approved yet,application_status
411,can you check on the status of my credit card application,application_status
412,i would like to know if my visa card application has been approved,application_status
413,can you let me know if my visa card has been approved,application_status
414,at what point will the review of my credit card application be completed,application_status
415,can you check if my mastercard application has been reviewed yet,application_status
416,has my visa card application been approved yet,application_status
417,please let me know how my credit card application is going,application_status
418,when will my credit card application be reviewed,application_status
419,please let me know if my discover card application has been approved,application_status
420,when is my flight going to board,flight_status
421,when am i boarding my flight,flight_status
422,at what time should i be boarding my flight,flight_status
423,can you please update the status of flight dl123,flight_status
424,when is the expected arrival of flight dl123,flight_status
425,is flight dl123 due to land as schedule,flight_status
426,will flight dl123 be on time,flight_status
427,are there any expected delays for flight dl123,flight_status
428,i would like to know flight dl123's status,flight_status
429,tell me flight dl123's statud,flight_status
430,for flight dl123 what's the status,flight_status
431,could you tell me the status of flight dl123,flight_status
432,when is my flight expected to arrive,flight_status
433,at what time is my flight scheduled to land,flight_status
434,what time is my flight going to land,flight_status
435,ostensibly when is my flight going to land,flight_status
436,when is my flight going to arrive,flight_status
437,what time does my flight board,flight_status
438,what is the boarding time for my upcoming flight,flight_status
439,when is my flight boarding,flight_status
440,flip a normal coin,flip_coin
441,flip a heads or tails coin i pick heads,flip_coin
442,"flip a coin, i choose heads",flip_coin
443,please flip a coin - i call heads,flip_coin
444,can you flip a coin i pick heads,flip_coin
445,please flip coin ai,flip_coin
446,flip a coin now,flip_coin
447,please flip a coin,flip_coin
448,i need you to flip a coin,flip_coin
449,flip coin ai,flip_coin
450,please go ahead and flip a coin,flip_coin
451,flip the coin ai,flip_coin
452,please flip coin,flip_coin
453,i wanna flip a coin,flip_coin
454,please flip the coin,flip_coin
455,please flip the coin over ai,flip_coin
456,i'm wanting you to flip a coin,flip_coin
457,flip me a coin,flip_coin
458,i want you to flip a coin now,flip_coin
459,i call tails and you call heads on this coin flip i need you to do,flip_coin
460,will you start calling me chaz,change_user_name
461,stop calling me charlie and from now on always call me chip,change_user_name
462,"from now on, refer to me as chuck",change_user_name
463,please call me charlile from here on out ok,change_user_name
464,i want you to call me a different name so can you call me charchar,change_user_name
465,please change my name to tom,change_user_name
466,"from now on, my name is tom",change_user_name
467,i want to be called tom,change_user_name
468,please call me tom,change_user_name
469,you can call me jason,change_user_name
470,my name is jason,change_user_name
471,jason is my name,change_user_name
472,i prefer to be called jason,change_user_name
473,i am jason,change_user_name
474,you shall address me as nick,change_user_name
475,my name is nick,change_user_name
476,refer to me as nick,change_user_name
477,the name is nick,change_user_name
478,you could say my name is nick,change_user_name
479,i am camile,change_user_name
480,what place were you born at,where_are_you_from
481,where were you born as a kid,where_are_you_from
482,tell me where you were created,where_are_you_from
483,what place were you made at,where_are_you_from
484,what place were you actually born at,where_are_you_from
485,what place do you come from,where_are_you_from
486,where do you hale from,where_are_you_from
487,what place were you born,where_are_you_from
488,where are you from before you got here,where_are_you_from
489,let me know when you were made,where_are_you_from
490,where you from,where_are_you_from
491,where are you from if i may ask,where_are_you_from
492,where are you from oroginally,where_are_you_from
493,where are you originally from before coming here,where_are_you_from
494,what's your home town,where_are_you_from
495,what country are you from,where_are_you_from
496,are you from here,where_are_you_from
497,were you made here,where_are_you_from
498,where did you come from,where_are_you_from
499,you were made where,where_are_you_from
500,"i'm not sure if watermelon is on my shopping list, but if it isn't can you put it on there",shopping_list_update
501,is it possible to add grapes to my shopping list if they aren't on there already,shopping_list_update
502,please add bananas to my shopping list unless i already did,shopping_list_update
503,can you add apples to my shopping list if they aren't already on there,shopping_list_update
504,would you be willing to add bread to my shopping list if i haven't already,shopping_list_update
505,"i'm out of cleaning supplies, remind me on my list",shopping_list_update
506,"i don't have any more steak, please put that on my grocery list",shopping_list_update
507,"i'm out of apples, add that to my list",shopping_list_update
508,"i have no oranges, put them onto my list",shopping_list_update
509,do i have peanuts on my shopping list if not please add it,shopping_list_update
510,do i have soda on my shopping list if not please add it,shopping_list_update
511,i'm out of kleenex so will you put that on my shopping list,shopping_list_update
512,i'm out of paper towels so will you put that on my shopping list,shopping_list_update
513,i'm out of toilet paper so will you put that on my shopping list,shopping_list_update
514,do i have graham crackers on my shopping list if not please add it,shopping_list_update
515,i'm out of clorox wipes so will you put that on my shopping list,shopping_list_update
516,do i have tortillas on my shopping list if not please add it,shopping_list_update
517,i'm out of laundry detergent so will you put that on my shopping list,shopping_list_update
518,do i have cheese on my shopping list if not please add it,shopping_list_update
519,i'd like you to add oranges to my shopping list,shopping_list_update
520,what categories of questions can you answer,what_can_i_ask_you
521,what kind of questions can i ask the ai,what_can_i_ask_you
522,can you tell me what i can ask the ai,what_can_i_ask_you
523,what types of things can i ask the ai,what_can_i_ask_you
524,what kind of things can i ask the ai,what_can_i_ask_you
525,what can i ask the ai,what_can_i_ask_you
526,what questions can you answer,what_can_i_ask_you
527,what am i allowed to ask you,what_can_i_ask_you
528,what all can i ask you,what_can_i_ask_you
529,what are you capable of doing and answering,what_can_i_ask_you
530,what are you capable of answering,what_can_i_ask_you
531,what kinds of subjects do you know about,what_can_i_ask_you
532,what are the different subjects that you know,what_can_i_ask_you
533,which kinds of info are you familiar with,what_can_i_ask_you
534,what kind of information do you know,what_can_i_ask_you
535,which subjects can you tell me about,what_can_i_ask_you
536,can i ask you all different types of questions,what_can_i_ask_you
537,can you answer all types of questions,what_can_i_ask_you
538,what topics can you answer questions on,what_can_i_ask_you
539,what kind of questions can you answer,what_can_i_ask_you
540,i do not have that information,maybe
541,i can't give you an answer to that,maybe
542,i do not know the answer to that,maybe
543,perhaps,maybe
544,possibly either one,maybe
545,i don't have any idea,maybe
546,can't say,maybe
547,i couldn't say either could be possible,maybe
548,which one i don't know either i guess,maybe
549,i just don't know,maybe
550,don't have any idea,maybe
551,i couldn't say,maybe
552,i don't know the anwser,maybe
553,couldn't tell you,maybe
554,either i am not sure,maybe
555,either of them could be i'm not sure,maybe
556,don't know,maybe
557,idk,maybe
558,i don't have an answer for that,maybe
559,maybe it does,maybe
560,procedure to change oil in car,oil_change_how
561,way to change car oil,oil_change_how
562,how to change oil of a car,oil_change_how
563,how can i change car oil,oil_change_how
564,"i want to know how to change oil, tell me the steps one at a time while i work through it",oil_change_how
565,find step by step instructions on how to change my oil,oil_change_how
566,how do i change oil on a car,oil_change_how
567,where can i find a page showing my how to change my oil,oil_change_how
568,what weight oil do i need and how do i change the oil for my chevy truck,oil_change_how
569,what kind of oil do i need for my ford truck and how can i change it,oil_change_how
570,what kind of oil and how much do i need for my toyota tacoma truck and how do i do it,oil_change_how
571,i need to know how to change my oil and what kind of oil for a 2007 trailblazer,oil_change_how
572,what oil do i need for my honda crv and how do i change it,oil_change_how
573,"i need a tutorial to learn how to change my oil, please",oil_change_how
574,what steps do i need to follow to change the oil in my car,oil_change_how
575,can you get me simple instructions on how to do an oil change,oil_change_how
576,i want to figure out how to do an oil change on my car,oil_change_how
577,can you teach me to change my oil,oil_change_how
578,can you tell me how to change my oil,oil_change_how
579,can you find some instructions on how to change my oil,oil_change_how
580,please reserve a table for 2 at lucky's under the name melissa at 7 pm,restaurant_reservation
581,i would like to reserve a table for 2 at sam's steakhouse under the name jessie at 6:30 pm,restaurant_reservation
582,help me reserve a table for 3 at lucky's under the name crystal at 8 pm,restaurant_reservation
583,would you please schedule a reservation for 2 at lucky's under the name sam at 7:30pm,restaurant_reservation
584,could you please reserve a table for 6 at lucille's under the name tom at 5pm,restaurant_reservation
585,is there a reservation available at ruth chris today,restaurant_reservation
586,are there 8pm tables available at texas roadhouse,restaurant_reservation
587,book a reservation for 3 at xenophobe under the name zebee,restaurant_reservation
588,i need to book a reservation for 3 at xenophobe under the name zebee,restaurant_reservation
589,book 3 under the name zebee at xenophobe,restaurant_reservation
590,what reservations are available for 3 people at the xenophobe,restaurant_reservation
591,under the name zebee book a reservation at the xenophobe for 3,restaurant_reservation
592,use the name wheeler to reserve a table for 3 at andrea's steakhouse at 5pm,restaurant_reservation
593,make a reservation for wheeler party of 3 for 5pm at andrea's steakhouse,restaurant_reservation
594,reserve a table for 3 at andrea's steakhouse around 5pm under the name wheeler,restaurant_reservation
595,i need a table for 3 at 5pm at andrea's steakhouse under wheeler,restaurant_reservation
596,reserve a table for 3 under the name wheeler at andrea's steakhouse for 5pm,restaurant_reservation
597,book room for me and her under the name kendra,restaurant_reservation
598,allow me to turn on the lights,restaurant_reservation
599,make me a reservation for 5 people at village tavern for the calloways,restaurant_reservation
600,do i have more than $100 in my pnc account,balance
601,what's my pnc balance,balance
602,how much is in my pnc account,balance
603,how much money do i have in my pnc account,balance
604,what is the balance in my pnc account,balance
605,can i get beer within my deposit account,balance
606,is there enough in my savings account to get a new tv,balance
607,could be there be a good amount of money in my checking account to go on a vacation,balance
608,can i afford a new tv from my savings account,balance
609,will i have enough to get a new roku with my savings account,balance
610,do you think i have enough money in my chase account for a new pair of sneakers,balance
611,i hope i have enough money in my chase account to buy new clothes,balance
612,i am not sure if i have enough money in my chase account to buy a new dress,balance
613,i wonder if i have enough money in my chase account for a bike,balance
614,i keep trying to figure out if i have enough money in my chase account to purchase a new set of tires,balance
615,please tell me how much money i have in my bank accounts,balance
616,i need to know how much money i have in all of my bank accounts,balance
617,how much money is in all of my bank accounts,balance
618,how much money is in my bank accounts,balance
619,can you tell me how much money i have i my bank accounts,balance
620,please double check my reservations for six at mani,confirm_reservation
621,confirm my johnny rockets reservation for this evening,confirm_reservation
622,confirm four for my reservation at fiji,confirm_reservation
623,make sure my flower bar reservation is scheduled for tomorrow,confirm_reservation
624,please double check on my reservations for buffalo wild wings at five for the game,confirm_reservation
625,i would like to try and confirm that i have a reservation at applebee's for kristen,confirm_reservation
626,i would like to try and confirm that i have a reservation at chili's for bart,confirm_reservation
627,i would like to try and confirm that i have a reservation at longhorn for justin,confirm_reservation
628,i would like to try and confirm that i have a reservation at outback for josh,confirm_reservation
629,i would like to try and confirm that i have a reservation at carrabbas for heather,confirm_reservation
630,i want to confirm friday's reservation at 2:00,confirm_reservation
631,confirm my friday reservation at 2:00,confirm_reservation
632,i am here to conform my friday reservation at 2:00,confirm_reservation
633,you know the reservation i have on 2:00 friday i confirm it,confirm_reservation
634,i'd like to confirm the 2:00 reservation for friday,confirm_reservation
635,check to see if i am still booked to be eating at gusto handcrafted pasta & pizza at 6:30 pm,confirm_reservation
636,is my dinner reservation for gusto handcrafted pasta & pizza at 6:30 pm still valid,confirm_reservation
637,please call gusto handcrafted pasta & pizza and ask them about the status of my reservation for 6:30 pm,confirm_reservation
638,will you check to see if i am still reserved for 6:30 pm at gusto handcrafted pasta & pizza,confirm_reservation
639,please confirm my reservation for dinner at gusto handcrafted pasta & pizza at 6:30 pm,confirm_reservation
640,may you stop a paymet on my account,freeze_account
641,how we stop my account,freeze_account
642,can you place a stop on my account,freeze_account
643,can we stop my bank account,freeze_account
644,please put a block on my capital one account immediately,freeze_account
645,please put a block on my discover account immediately,freeze_account
646,please put a block on my regions account immediately,freeze_account
647,please put a block on my wells fargo account immediately,freeze_account
648,please put a block on my us bank account immediately,freeze_account
649,i need you to act swiftly and freeze all activity on my capital one checking,freeze_account
650,place a hold on my chase money market market account at once,freeze_account
651,i need to block all transactions from going through on my citi checking account straight away,freeze_account
652,please immediately block my navy federal credit union account,freeze_account
653,can you initiate a block on my bank of america checking asap,freeze_account
654,i need my savings account placed under a block as soon as possible,freeze_account
655,please put a hold on my retirement account right now,freeze_account
656,i need a block placed right away on my joint checking account,freeze_account
657,i want a block placed on my checking account right away,freeze_account
658,i want a block placed on my college fund account immediately,freeze_account
659,can you please freeze my account,freeze_account
660,will my 401k rollover,rollover_401k
661,will my 401k carryover,rollover_401k
662,will my 401k carryover or not,rollover_401k
663,can my 401k rollover or not,rollover_401k
664,could my 401k be rolled over,rollover_401k
665,can the 401k i have be rolled over,rollover_401k
666,is there a way to roll over my 401k,rollover_401k
667,is it possible to rollover my 401k,rollover_401k
668,am i able to rollover my 401k,rollover_401k
669,how should i rollover my 401k,rollover_401k
670,i need help with my 401k rollover because i just got a new job,rollover_401k
671,how do i do a 401k rollover when switching to a new job,rollover_401k
672,due to getting a new job i need assistance with my 401k rollover,rollover_401k
673,"i'm at a new job and i need to do a 401k rollover, how do i do this",rollover_401k
